Species	Common name	Order	Ecology	Total Length (cm)	Head length (cm)	Snout-eye (cm)	Upper jaw height (cm)	Lower jaw height (cm)	Snout-Pectoral (cm)	Gill size (cm)	Pectoral fin length (cm)	Pectoral fin width (cm)	Snout-Dorsal (cm)	Dorsal fin height (cm)	Dorsal fin width (cm)	DorsalA-Pectoral (cm)	DorsalTip-Abdomen (cm)	DorsalP-Abdomen  (cm)	Dorsal1-Dorsal2 (cm)	Pectoral-Pelvic (cm)	Pelvic fin length (cm)	Pelvic fin width (cm)	Back-PelvicA (cm)	Pelvic-anal (cm)	Dorsal2-Anal (cm)	Dorsal-Caudal (cm)	Fork height (cm)	Tail height (cm)	Sex	Life stage	Image score
Lamna ditropis	Salmon	Lamniformes	Macropredator	122	34.24	4.34	8.68	2.76	31.78	9.47	23.95	11.75	40.66	15	17.57	20.43	41.73	24.97	28.72	24.87	5.82	8.48	16.58	9.38	8.09	62.96	3.75	29.7	F	J	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	33.5	9.75	1.5	3.03	2.25	9.03	3.13	6.4	3.98	11.94	2.41	4.44	5.41	9.97	7.16	7.91	6.81	1.66	2.24	3.97	3.09	2.03	17.2	1	9.2	F	J	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	148	39.42	5.64	11.54	3.93	37.88	11.63	30.4	19.12	48.74	21.46	23.26	21.63	42.24	20.26	36	48.39	5.39	10.3	16.42	8.04	10.09	76.35	4.62	21.29	F	S	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	94.3	25.84	4.09	5.18	2.85	23.87	8.92	17.22	11.08	33.58	5.99	8.91	12.04	24.96	17.37	22.26	17.37	4.76	6.43	10	5.4	5.69	47.74	3.36	16.42	F	J	2
Lamna ditropis	Salmon	Lamniformes	Macropredator	86.13	25.76	4.3	4.23	4.16	23.94	7.15	18.06	10.08	34.09	5.14	7.47	9.65	21.55	16.97	20.28	17.82	4.85	6.25	8.66	5.63	5.49	43.94	3.73	20	F	J	2
Lamna ditropis	Salmon	Lamniformes	Macropredator	92.5	26.17	3.22	6.64	5.64	23.96	7.35	17.23	11.21	32.82	6.95	10.07	14.3	27.18	19.33	21.85	18.42	3.6	5.13	11.68	6.54	6.34	43.6	2.92	24.66	F	J	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	110	31.8	4.28	10.02	1.85	30.15	9.63	12.89	10.51	39.1	11.38	14.39	19.84	33.07	20.62	26.94	23.44	5.56	6.4	15.27	9.63	6.71	56.7	2.82	24.32	U	J	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	81	26.46	5.93	7.03	3.01	24.69	7.72	14.93	7.72	29.33	8.28	10.72	13.11	24.64	16.31	18.18	17.32	1.5	2.7	9.9	7.37	4.4	40.24	2.01	19.14	U	J	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	191.6	72.23	19.01	17.38	9.12	68.43	22.78	49.33	19.39	78.75	24.87	26.39	30.41	64.08	38.45	44.24	39.97	7.85	11.41	21.4	13.9	11.08	85.16	4.78	49.75	U	A	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	181	62.11	12.68	18.01	4.18	55.48	13.55	43.15	21.31	72.05	27.81	27.24	39.2	64.27	34.15	40.49	33.58	7.84	10.53	27.81	18.16	11.53	83.44	4.76	38.33	M	S	2
Lamna nasus	Porbeagle	Lamniformes	Macropredator	144	44.58	8.72	10.68	4.47	39.79	10.52	29.82	10.6	52.22	20.28	22.57	23	49.27	25.73	30.52	30.52	9.58	10.14	19.73	12.65	9.27	69.33	3.92	40.77	M	S	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	195.06	55.25	9.12	14.39	10.98	47.78	18.17	32.32	25.36	67.11	29.44	33.83	26.8	67.77	34.05	46.57	37.34	10.8	14.29	25.26	18.56	13.18	96.1	5.49	57.77	M	A	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	84	25.85	4.47	8.09	3.03	24.73	6.58	17.58	6.84	30.72	9.41	11.31	15.59	28.81	19.21	21.58	22.3	3.82	4.89	11.51	7.04	5.13	42	2.43	22.89	M	J	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	128	41.46	9.92	9.23	8.23	38.92	9.72	22.99	14.6	47.46	12.23	14.85	17.39	38.23	25.69	32.23	22.46	5.82	10.12	13.23	12.54	8.08	66.23	4.12	39	F	J	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	160	48.39	11.19	11.32	5.46	43.97	13.66	28.74	9.88	59.32	17.56	18.6	21.07	49.95	29.53	33.3	33.3	9.12	5.64	20.33	12.62	8.46	84.55	4.16	38.89	F	S	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	109.7	35.29	10.49	8.92	2.75	33.23	7.16	19.22	8.33	37.35	11.18	12.65	13.63	26.18	14.02	23.14	17.55	3.38	5.4	10.69	10	5.69	58.53	2.84	28.53	U	J	2
Lamna nasus	Porbeagle	Lamniformes	Macropredator	181.02	47.82	5.26	15.77	6.51	42.06	17.58	35.97	24.64	59.84	25.79	26.29	29.67	65.1	36.93	50.7	43.69	12.59	18.61	24.79	13.02	11.52	94.97	5	50.95	U	S	3
Lamna nasus	Porbeagle	Lamniformes	Macropredator	174	48.94	8.94	15.03	6.3	44.93	12.88	36.23	21.16	59.81	24.76	27.33	29.91	54.09	29.19	44.93	34.2	10.12	14.6	25.33	17.74	11.16	89	5.29	30.77	U	S	2
Lamna nasus	Porbeagle	Lamniformes	Macropredator	196	52.59	7.81	13.86	7.33	45.26	15.46	42.03	21.65	64.86	25.66	29.48	30.6	63.26	35.85	43.02	40.32	9.35	12.75	24.38	20.72	12.43	102.3	5.1	63.58	M	A	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	700	212.98	42.05	56.98	33.91	181.78	66.71	118.83	63.34	274.03	66.47	81.4	99.03	223.84	147.87	154.65	176.36	26.34	33.94	79.19	61.05	40.7	359.5	17.64	198.06	F	A	3
